category,title_group,english_level,it_experience_years,salary_usd
Software Engineer,Tech leadership,Advanced,10.0,5500.0
Design,Entry-level,Advanced,1.0,1500.0
Quality Assurance,Senior-level,Advanced,11.0,5210.0
Other,Entry-level,Pre-Intermediate,3.0,1600.0
Analyst,Entry-level,Upper-Intermediate,0.1,1000.0
Analyst,Mid-level,Advanced,1.5,1700.0
Management,Senior-level,Advanced,4.0,7500.0
Marketing,Senior-level,Upper-Intermediate,13.0,4200.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,4230.0
Management,Senior-level,Advanced,6.0,5500.0
Quality Assurance,Senior-level,Intermediate,4.0,3100.0
DevOps,Entry-level,Intermediate,1.0,700.0
Sales,Entry-level,Intermediate,0.1,800.0
Software Engineer,Entry-level,Upper-Intermediate,1.0,1300.0
Management,Mid-level,Intermediate,7.0,2500.0
Quality Assurance,Entry-level,Pre-Intermediate,1.0,624.0
Other,Senior-level,Intermediate,7.0,3500.0
Quality Assurance,Mid-level,Pre-Intermediate,3.0,1400.0
HR,Mid-level,Pre-Intermediate,5.0,1450.0
HR,Mid-level,Upper-Intermediate,6.0,2600.0
Quality Assurance,Mid-level,Intermediate,6.0,2700.0
Design,Mid-level,Upper-Intermediate,2.0,2000.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,2300.0
Quality Assurance,Senior-level,Intermediate,9.0,4500.0
Software Engineer,Mid-level,Upper-Intermediate,5.0,2600.0
Quality Assurance,Mid-level,Pre-Intermediate,5.0,2200.0
Software Engineer,Mid-level,Intermediate,4.0,2250.0
Quality Assurance,Tech leadership,Upper-Intermediate,11.0,4000.0
Quality Assurance,Entry-level,Upper-Intermediate,3.0,954.0
Quality Assurance,Mid-level,Upper-Intermediate,6.0,1650.0
Other,Mid-level,Intermediate,4.0,1200.0
Quality Assurance,Mid-level,Intermediate,4.0,2600.0
Analyst,Senior-level,Intermediate,3.0,8000.0
Management,Tech leadership,Upper-Intermediate,8.0,5000.0
Analyst,Entry-level,Advanced,0.1,570.0
Software Engineer,Senior-level,Upper-Intermediate,9.0,4500.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,7600.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1385.0
DevOps,Entry-level,Intermediate,0.25,440.0
Quality Assurance,Tech leadership,Upper-Intermediate,8.0,4121.0
Management,Mid-level,Upper-Intermediate,7.0,2450.0
Analyst,Tech leadership,Advanced,8.0,7800.0
Management,Mid-level,Advanced,1.0,3500.0
Quality Assurance,Entry-level,Pre-Intermediate,1.0,1100.0
Software Engineer,Senior-level,Upper-Intermediate,9.0,5300.0
Analyst,Entry-level,Advanced,0.5,862.0
Quality Assurance,Entry-level,Intermediate,2.0,650.0
DevOps,Senior-level,Advanced,7.0,6000.0
Quality Assurance,Entry-level,Intermediate,2.0,500.0
Quality Assurance,Entry-level,Upper-Intermediate,0.1,700.0
Software Engineer,Mid-level,Upper-Intermediate,5.0,3000.0
Management,Mid-level,Upper-Intermediate,5.0,3000.0
DevOps,Senior-level,Advanced,4.0,7000.0
Design,Mid-level,Intermediate,6.0,2200.0
Analyst,Mid-level,Upper-Intermediate,4.0,2100.0
Quality Assurance,Mid-level,Upper-Intermediate,2.0,1300.0
Marketing,Management,Upper-Intermediate,10.0,4000.0
Design,Mid-level,Advanced,6.0,1560.0
DevOps,Senior-level,Upper-Intermediate,8.0,7350.0
Software Engineer,Senior-level,Advanced,5.0,4500.0
Marketing,Entry-level,Intermediate,0.1,800.0
Design,Senior-level,Upper-Intermediate,5.0,5000.0
DevOps,Mid-level,Pre-Intermediate,3.0,3200.0
DevOps,IC-high,Advanced,11.0,8000.0
Quality Assurance,Mid-level,Intermediate,6.0,2450.0
Quality Assurance,Entry-level,Elementary,2.0,1200.0
Management,Management,Advanced,10.0,4465.0
Quality Assurance,Mid-level,Intermediate,6.0,2100.0
Software Engineer,Mid-level,Upper-Intermediate,5.0,3000.0
Software Engineer,Tech leadership,Upper-Intermediate,7.0,6000.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,4500.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,3380.0
Marketing,Mid-level,Advanced,3.0,1200.0
Software Engineer,IC-high,Upper-Intermediate,18.0,9500.0
Design,Senior-level,Intermediate,9.0,2500.0
Quality Assurance,Mid-level,Intermediate,4.0,1200.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1600.0
Other,Mid-level,Advanced,4.0,2000.0
Design,Senior-level,Upper-Intermediate,7.0,3500.0
Design,Mid-level,Upper-Intermediate,3.0,1650.0
Other,Management,Intermediate,7.0,3500.0
Quality Assurance,Senior-level,Advanced,8.0,3000.0
Data Scientist,Entry-level,Upper-Intermediate,2.0,400.0
Management,Entry-level,Advanced,0.5,750.0
Software Engineer,Mid-level,Intermediate,4.0,1400.0
DevOps,Mid-level,Intermediate,3.0,1800.0
Software Engineer,Tech leadership,Upper-Intermediate,6.0,7708.0
SysAdmin,Senior-level,Pre-Intermediate,10.0,3500.0
Data Scientist,Mid-level,Upper-Intermediate,1.5,1350.0
Software Engineer,Senior-level,Intermediate,8.0,6000.0
Design,Senior-level,Advanced,7.0,4000.0
Management,Mid-level,Intermediate,3.0,2900.0
Design,Senior-level,Upper-Intermediate,4.0,2500.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,2800.0
Quality Assurance,Senior-level,Intermediate,7.0,7200.0
Software Engineer,Entry-level,Intermediate,1.5,900.0
Data Scientist,Senior-level,Upper-Intermediate,5.0,3500.0
Quality Assurance,Senior-level,Intermediate,13.0,2870.0
Management,Management,Advanced,6.0,6175.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,3850.0
SysAdmin,Entry-level,Intermediate,0.5,600.0
Quality Assurance,Entry-level,Intermediate,1.0,950.0
Management,Mid-level,Upper-Intermediate,3.0,2800.0
Management,Senior-level,Advanced,6.0,4000.0
Quality Assurance,Entry-level,Intermediate,1.5,1300.0
Quality Assurance,Entry-level,Intermediate,3.0,1450.0
Quality Assurance,Entry-level,Upper-Intermediate,1.5,1000.0
Quality Assurance,Mid-level,Intermediate,3.0,1400.0
Analyst,Entry-level,Advanced,0.5,650.0
Management,Executive,Advanced,10.0,14664.0
Design,Entry-level,Intermediate,2.0,600.0
Analyst,Mid-level,Upper-Intermediate,3.0,3245.0
Quality Assurance,Senior-level,Intermediate,4.0,2600.0
Quality Assurance,Mid-level,Intermediate,3.0,1650.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,4000.0
Management,Mid-level,Upper-Intermediate,4.0,3000.0
Software Engineer,Tech leadership,Upper-Intermediate,10.0,6500.0
Software Engineer,Mid-level,Intermediate,4.0,2300.0
Management,Management,Upper-Intermediate,18.0,6050.0
Management,Management,Intermediate,5.0,6000.0
Marketing,Mid-level,Advanced,4.0,1700.0
Software Engineer,Tech leadership,Intermediate,10.0,4500.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,7000.0
Quality Assurance,Senior-level,Intermediate,5.0,3000.0
Quality Assurance,Entry-level,Elementary,1.5,500.0
DevOps,Senior-level,Upper-Intermediate,3.0,6000.0
Marketing,Entry-level,Advanced,3.0,908.0
Quality Assurance,Senior-level,Upper-Intermediate,10.0,2500.0
Quality Assurance,Mid-level,Pre-Intermediate,2.0,1300.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2000.0
Quality Assurance,Mid-level,Intermediate,7.0,2600.0
Quality Assurance,Senior-level,Intermediate,4.0,3162.0
Data Scientist,Entry-level,Intermediate,1.5,1500.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,6200.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2300.0
Marketing,Senior-level,Upper-Intermediate,8.0,3200.0
Quality Assurance,Senior-level,Pre-Intermediate,6.0,2500.0
Analyst,Entry-level,Upper-Intermediate,1.0,1000.0
Analyst,Mid-level,Advanced,3.0,2385.0
Analyst,Entry-level,Intermediate,0.1,900.0
Quality Assurance,Senior-level,Advanced,3.0,5000.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,3700.0
Quality Assurance,Mid-level,Intermediate,7.0,1900.0
Software Engineer,Mid-level,Intermediate,6.0,3000.0
Analyst,Mid-level,Upper-Intermediate,4.0,2000.0
Software Engineer,Mid-level,Intermediate,2.0,1500.0
Marketing,Entry-level,Pre-Intermediate,0.5,770.0
Analyst,Mid-level,Upper-Intermediate,4.0,1900.0
Software Engineer,Tech leadership,Upper-Intermediate,18.0,5400.0
Quality Assurance,Tech leadership,Intermediate,5.0,4900.0
Analyst,Mid-level,Pre-Intermediate,7.0,2500.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1300.0
Software Engineer,Entry-level,Upper-Intermediate,1.5,800.0
Other,Entry-level,Intermediate,1.5,500.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,3700.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,2800.0
Quality Assurance,Mid-level,Intermediate,3.0,1750.0
HR,Mid-level,Upper-Intermediate,3.0,1500.0
DevOps,Mid-level,Upper-Intermediate,4.0,3200.0
Data Scientist,Senior-level,Advanced,5.0,3000.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,2800.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,5300.0
Quality Assurance,Entry-level,Upper-Intermediate,0.1,650.0
Software Engineer,Mid-level,Pre-Intermediate,5.0,2500.0
Analyst,Mid-level,I don't know,1.5,1700.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,2300.0
Software Engineer,Mid-level,Advanced,4.0,3500.0
DevOps,Mid-level,Pre-Intermediate,3.0,3000.0
Marketing,Senior-level,Intermediate,7.0,5500.0
Data Scientist,Tech leadership,Intermediate,10.0,7400.0
Quality Assurance,Mid-level,Upper-Intermediate,6.0,2790.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2600.0
Management,Senior-level,Upper-Intermediate,3.0,3900.0
DevOps,Senior-level,Advanced,4.0,7000.0
Management,Management,Advanced,5.0,3900.0
Software Engineer,Entry-level,Upper-Intermediate,2.0,1485.0
Software Engineer,Mid-level,Intermediate,3.0,2750.0
Quality Assurance,Entry-level,Pre-Intermediate,1.5,700.0
Sales,Mid-level,Upper-Intermediate,5.0,2300.0
Analyst,Entry-level,Upper-Intermediate,3.0,1500.0
DevOps,Senior-level,Upper-Intermediate,6.0,6390.0
Design,Entry-level,Upper-Intermediate,1.5,800.0
HR,Mid-level,Upper-Intermediate,3.0,1200.0
Management,Mid-level,Advanced,1.5,2600.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,5000.0
Quality Assurance,Mid-level,Pre-Intermediate,4.0,1500.0
Quality Assurance,Entry-level,Pre-Intermediate,1.0,480.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,1595.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,2780.0
Data Scientist,Mid-level,Intermediate,1.5,2700.0
Design,Mid-level,Intermediate,1.0,1500.0
Quality Assurance,Mid-level,Intermediate,4.0,1800.0
Quality Assurance,Entry-level,Intermediate,0.5,520.0
Sales,Senior-level,Advanced,4.0,2500.0
Quality Assurance,Senior-level,Upper-Intermediate,4.0,4000.0
Quality Assurance,Mid-level,Upper-Intermediate,2.0,1200.0
Other,Management,Advanced,5.0,4500.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,4500.0
Management,Entry-level,Upper-Intermediate,1.0,900.0
DevOps,Management,Upper-Intermediate,5.0,5700.0
Management,Management,Advanced,9.0,5000.0
Customer Support,Senior-level,Advanced,10.0,4000.0
Data Scientist,Entry-level,Intermediate,1.5,850.0
Analyst,Tech leadership,Upper-Intermediate,20.0,6000.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2300.0
Software Engineer,Senior-level,Intermediate,7.0,5200.0
Analyst,Mid-level,Upper-Intermediate,2.0,2075.0
Design,Mid-level,Upper-Intermediate,4.0,2900.0
Quality Assurance,Senior-level,Upper-Intermediate,5.0,4250.0
Software Engineer,Tech leadership,Upper-Intermediate,12.0,4860.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,4500.0
Analyst,Tech leadership,Advanced,18.0,6500.0
Software Engineer,Tech leadership,Advanced,6.0,5000.0
Other,Mid-level,Advanced,5.0,2300.0
Analyst,Entry-level,Upper-Intermediate,0.25,830.0
Management,Management,Advanced,5.0,4200.0
Software Engineer,Mid-level,Advanced,4.0,2700.0
Quality Assurance,Entry-level,Pre-Intermediate,0.25,800.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,1980.0
HR,Mid-level,Upper-Intermediate,3.0,2300.0
DevOps,Senior-level,Intermediate,10.0,2500.0
Quality Assurance,Mid-level,Intermediate,5.0,1750.0
Design,Entry-level,Upper-Intermediate,1.5,600.0
Design,Mid-level,Advanced,4.0,2000.0
Customer Support,Entry-level,Upper-Intermediate,0.5,1500.0
Software Engineer,Entry-level,Upper-Intermediate,1.5,1100.0
Analyst,Tech leadership,Advanced,11.0,4500.0
Software Engineer,Mid-level,Pre-Intermediate,7.0,1900.0
Quality Assurance,Mid-level,Intermediate,5.0,2000.0
Software Engineer,Entry-level,Intermediate,3.0,1400.0
Marketing,Mid-level,Upper-Intermediate,4.0,1700.0
Software Engineer,Tech leadership,Advanced,8.0,5400.0
Management,Management,Advanced,13.0,5000.0
Quality Assurance,Tech leadership,Upper-Intermediate,13.0,4000.0
Design,Tech leadership,Upper-Intermediate,9.0,4000.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,8000.0
DevOps,Mid-level,Intermediate,4.0,1500.0
Design,Mid-level,Upper-Intermediate,3.0,1820.0
Analyst,Senior-level,Upper-Intermediate,5.0,3800.0
Management,Management,Advanced,11.0,6500.0
Design,Senior-level,Upper-Intermediate,7.0,5500.0
Software Engineer,Entry-level,Pre-Intermediate,3.0,700.0
Quality Assurance,Mid-level,Upper-Intermediate,2.0,1700.0
Management,Mid-level,Upper-Intermediate,7.0,3000.0
Marketing,Entry-level,Upper-Intermediate,1.0,1356.0
Management,Senior-level,Advanced,6.0,4500.0
Software Engineer,Mid-level,Intermediate,4.0,2500.0
Customer Support,Tech leadership,Advanced,14.0,4200.0
Analyst,Entry-level,Intermediate,0.25,620.0
Quality Assurance,Senior-level,Intermediate,6.0,3000.0
Software Engineer,Entry-level,Elementary,3.0,900.0
Quality Assurance,Senior-level,Advanced,7.0,4300.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,1500.0
Quality Assurance,Senior-level,Intermediate,7.0,3361.0
Software Engineer,Senior-level,Upper-Intermediate,11.0,5000.0
Sales,Entry-level,Upper-Intermediate,2.0,650.0
Data Scientist,Senior-level,Upper-Intermediate,6.0,4300.0
Data Scientist,Mid-level,Intermediate,4.0,3000.0
Management,Senior-level,Upper-Intermediate,3.0,3000.0
Management,Tech leadership,Intermediate,9.0,5900.0
Analyst,Mid-level,Advanced,5.0,3250.0
Quality Assurance,Entry-level,Pre-Intermediate,1.5,800.0
Other,Management,Intermediate,9.0,3500.0
Analyst,Senior-level,Intermediate,8.0,3400.0
Management,Senior-level,Upper-Intermediate,4.0,3500.0
Sales,Management,Advanced,5.0,5000.0
Quality Assurance,Mid-level,Intermediate,6.0,1300.0
Management,Mid-level,Upper-Intermediate,2.0,1650.0
Analyst,Tech leadership,Upper-Intermediate,4.0,4400.0
Analyst,Entry-level,Pre-Intermediate,1.0,715.0
DevOps,Mid-level,Upper-Intermediate,3.0,3000.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,4800.0
Management,Management,Intermediate,8.0,4000.0
DevOps,Mid-level,Advanced,2.0,2450.0
Quality Assurance,Mid-level,Intermediate,4.0,2160.0
Analyst,Mid-level,Upper-Intermediate,4.0,2500.0
Quality Assurance,Senior-level,Pre-Intermediate,8.0,4000.0
Marketing,Mid-level,Intermediate,2.0,1600.0
SysAdmin,Entry-level,Upper-Intermediate,1.5,1000.0
Software Engineer,Mid-level,Pre-Intermediate,5.0,2800.0
Software Engineer,Entry-level,Upper-Intermediate,1.5,1200.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,3000.0
Management,Executive,Upper-Intermediate,18.0,15000.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,2500.0
Quality Assurance,Entry-level,Upper-Intermediate,1.0,570.0
Marketing,Entry-level,Intermediate,0.5,1200.0
Quality Assurance,Senior-level,Intermediate,9.0,3250.0
Quality Assurance,Entry-level,Upper-Intermediate,0.5,700.0
Quality Assurance,Senior-level,Advanced,3.0,3900.0
DevOps,Mid-level,Pre-Intermediate,6.0,3000.0
Software Engineer,Senior-level,Intermediate,3.0,4000.0
Quality Assurance,Mid-level,Intermediate,4.0,2200.0
Design,Tech leadership,Advanced,6.0,4800.0
DevOps,Senior-level,Upper-Intermediate,10.0,5115.0
Quality Assurance,Entry-level,Upper-Intermediate,1.5,1100.0
Quality Assurance,Senior-level,Upper-Intermediate,5.0,3000.0
Quality Assurance,Entry-level,Pre-Intermediate,1.0,400.0
Quality Assurance,Mid-level,Intermediate,4.0,1200.0
Security,Mid-level,Intermediate,2.0,1500.0
DevOps,Management,Upper-Intermediate,6.0,6950.0
Quality Assurance,Mid-level,Pre-Intermediate,4.0,1900.0
Quality Assurance,Tech leadership,Upper-Intermediate,10.0,4000.0
Quality Assurance,Mid-level,Intermediate,2.0,2300.0
HR,Mid-level,Advanced,2.0,1300.0
Management,Management,Upper-Intermediate,18.0,8000.0
Design,Mid-level,Upper-Intermediate,3.0,1600.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,3000.0
Design,Senior-level,Advanced,6.0,3500.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2100.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,5000.0
Software Engineer,Senior-level,Pre-Intermediate,5.0,4000.0
Quality Assurance,Mid-level,Pre-Intermediate,1.5,1200.0
Quality Assurance,Senior-level,Intermediate,5.0,3700.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1650.0
Software Engineer,Mid-level,Upper-Intermediate,5.0,3400.0
Design,Mid-level,Upper-Intermediate,4.0,1725.0
Analyst,Entry-level,Intermediate,0.5,1100.0
Software Engineer,Mid-level,Intermediate,4.0,3000.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,3300.0
Management,Mid-level,Upper-Intermediate,3.0,2500.0
Analyst,Senior-level,Intermediate,11.0,3100.0
Quality Assurance,Entry-level,Upper-Intermediate,2.0,1200.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,3000.0
Management,Senior-level,Advanced,8.0,3600.0
Data Scientist,Senior-level,Upper-Intermediate,10.0,4000.0
Marketing,Senior-level,Advanced,5.0,4000.0
Data Scientist,Senior-level,Advanced,3.0,3500.0
Quality Assurance,Tech leadership,Upper-Intermediate,18.0,5000.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,1500.0
Quality Assurance,Entry-level,Upper-Intermediate,1.5,800.0
Analyst,Mid-level,Pre-Intermediate,3.0,1200.0
Software Engineer,Mid-level,Upper-Intermediate,1.5,1750.0
Software Engineer,Senior-level,Intermediate,11.0,4000.0
Management,Tech leadership,Upper-Intermediate,8.0,6300.0
Quality Assurance,Entry-level,Upper-Intermediate,2.0,1085.0
Software Engineer,Senior-level,Intermediate,10.0,5500.0
Software Engineer,Mid-level,Elementary,4.0,3500.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,4300.0
DevOps,Senior-level,Upper-Intermediate,9.0,4500.0
Quality Assurance,Tech leadership,Upper-Intermediate,9.0,4400.0
DevOps,Tech leadership,Upper-Intermediate,10.0,7000.0
Data Scientist,Senior-level,Upper-Intermediate,6.0,4900.0
Software Engineer,Senior-level,Upper-Intermediate,4.0,3240.0
Analyst,Entry-level,Intermediate,0.25,600.0
Software Engineer,Senior-level,Upper-Intermediate,11.0,7500.0
Quality Assurance,Mid-level,Intermediate,6.0,1800.0
HR,Management,Intermediate,10.0,3500.0
Management,Mid-level,Upper-Intermediate,5.0,3200.0
Quality Assurance,Entry-level,Intermediate,1.0,500.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2000.0
Quality Assurance,Tech leadership,Upper-Intermediate,6.0,4100.0
Quality Assurance,Mid-level,Intermediate,6.0,1930.0
Quality Assurance,Mid-level,Intermediate,4.0,1600.0
Analyst,Entry-level,Intermediate,2.0,1500.0
Data Scientist,Tech leadership,Upper-Intermediate,8.0,7000.0
Design,Mid-level,Intermediate,4.0,1800.0
DevOps,Senior-level,Pre-Intermediate,14.0,7000.0
Quality Assurance,Senior-level,Pre-Intermediate,8.0,2800.0
DevOps,Entry-level,Upper-Intermediate,1.0,600.0
Quality Assurance,Senior-level,Intermediate,5.0,6000.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,2000.0
Software Engineer,Senior-level,Intermediate,9.0,4700.0
Customer Support,Entry-level,Upper-Intermediate,3.0,400.0
Management,Senior-level,Upper-Intermediate,4.0,4000.0
Customer Support,Mid-level,Pre-Intermediate,5.0,2400.0
Software Engineer,Entry-level,Intermediate,2.0,1080.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2200.0
Data Scientist,Entry-level,Upper-Intermediate,2.0,1350.0
Software Engineer,Tech leadership,Advanced,10.0,5000.0
DevOps,Senior-level,Intermediate,6.0,4000.0
Management,Senior-level,Advanced,3.0,4500.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,3800.0
Software Engineer,Mid-level,Intermediate,3.0,1950.0
Quality Assurance,Entry-level,Intermediate,2.0,900.0
Data Scientist,Senior-level,Elementary,7.0,4300.0
Software Engineer,Senior-level,Upper-Intermediate,11.0,7500.0
Software Engineer,Entry-level,Intermediate,1.5,1000.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2000.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,1900.0
Quality Assurance,Mid-level,Advanced,5.0,3000.0
Analyst,Senior-level,Upper-Intermediate,6.0,3500.0
Analyst,Entry-level,Intermediate,0.5,1000.0
Quality Assurance,Entry-level,Intermediate,0.5,500.0
DevOps,Tech leadership,Upper-Intermediate,8.0,5000.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1900.0
Software Engineer,Tech leadership,Upper-Intermediate,9.0,6800.0
Software Engineer,Mid-level,Upper-Intermediate,6.0,3850.0
Software Engineer,Mid-level,Intermediate,4.0,1300.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2450.0
Quality Assurance,Mid-level,Intermediate,2.0,1450.0
Analyst,Senior-level,Intermediate,3.0,3950.0
Other,Entry-level,Upper-Intermediate,0.5,600.0
Quality Assurance,Senior-level,Advanced,6.0,3600.0
Software Engineer,Senior-level,Pre-Intermediate,10.0,5700.0
Data Scientist,Mid-level,Upper-Intermediate,3.0,2880.0
Quality Assurance,Tech leadership,Intermediate,11.0,4300.0
Quality Assurance,Mid-level,Intermediate,4.0,2500.0
Software Engineer,Entry-level,Upper-Intermediate,1.5,1050.0
Data Scientist,Senior-level,Upper-Intermediate,4.0,5000.0
Quality Assurance,Senior-level,Upper-Intermediate,12.0,3700.0
Quality Assurance,Mid-level,Advanced,5.0,2500.0
Marketing,Tech leadership,Advanced,8.0,4500.0
Quality Assurance,Mid-level,Intermediate,4.0,1600.0
Quality Assurance,Entry-level,Upper-Intermediate,2.0,1100.0
Design,Entry-level,Elementary,1.5,1600.0
Analyst,Mid-level,Upper-Intermediate,3.0,2600.0
Management,Management,Upper-Intermediate,10.0,6150.0
Software Engineer,Senior-level,Upper-Intermediate,5.0,8000.0
Marketing,Senior-level,Upper-Intermediate,6.0,4700.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,2500.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1280.0
Design,Mid-level,Advanced,2.0,2500.0
DevOps,Mid-level,Upper-Intermediate,3.0,3250.0
Software Engineer,Mid-level,Intermediate,5.0,2200.0
Quality Assurance,Entry-level,Upper-Intermediate,0.5,700.0
Design,Entry-level,Pre-Intermediate,0.5,600.0
Sales,Senior-level,Advanced,10.0,2700.0
DevOps,Mid-level,Intermediate,3.0,1580.0
Design,Mid-level,Upper-Intermediate,2.0,3000.0
Software Engineer,Entry-level,Pre-Intermediate,1.5,500.0
Quality Assurance,Entry-level,Intermediate,1.5,600.0
Other,Management,Elementary,5.0,6500.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2700.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,4800.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,3300.0
HR,Mid-level,Pre-Intermediate,3.0,1450.0
Marketing,Mid-level,Upper-Intermediate,3.0,1800.0
Quality Assurance,Senior-level,Pre-Intermediate,13.0,4600.0
Quality Assurance,Senior-level,Intermediate,6.0,2830.0
Software Engineer,Mid-level,Intermediate,3.0,2200.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,3950.0
